,score,model_name,Air.csv,sem_Air.csv,EEG.csv,sem_EEG.csv,ae_te.csv,sem_ae_te.csv,ae_tr.csv,sem_ae_tr.csv,hospital.csv,sem_hospital.csv,occupancy_sc.csv,sem_occupancy_sc.csv,occupancyt2_sc.csv,sem_occupancyt2_sc.csv,occupancyt_sc.csv,sem_occupancyt_sc.csv,traffic_volume.csv,sem_traffic_volume.csv
0,MSE,feedforward,508607.91,164316.18,0.15,0.06,0.46,0.05,0.5,0.13,632085.81,11176.82,338332.3,141276.32,183177.37,20936.65,326051.01,116499.82,0.1,0.05
1,abs_error,feedforward,61194.5,9479.3,45.68,9.05,72.03,4.23,75.94,10.85,27409.07,702.93,17306.34,3889.47,12397.96,782.53,18205.95,3135.17,11.24,3.46
2,abs_target_sum,feedforward,78.71,0,35.58,0,65.28,0,66.04,0,31.89,0,36.22,0,27.62,0,43.18,0,21.62,0
3,abs_target_mean,feedforward,0.61,0,0.24,0,0.54,0,0.55,0,0.46,0,0.6,0,0.46,0,0.72,0,0.43,0
4,seasonal_error,feedforward,0.07,0,0,0,0.05,0,0.05,0,0.13,0,0,0,0,0,0,0,0.11,0
5,MASE,feedforward,6777.73,1110.3,1104.88,295.46,12.94,0.73,14.19,1.98,4196.61,70.94,123805.82,27772.49,63447.09,3999.58,106988.76,26205.65,501.5,283.72
6,MAPE,feedforward,1021.8,160.69,28.8,10.52,1.15,0.09,1.33,0.2,482.7,18.51,1173.76,271.88,498.45,77.82,507.56,109.69,130.68,86.38
7,sMAPE,feedforward,1.97,0.01,1.27,0.08,1.56,0.06,1.56,0.13,1.88,0.01,1.76,0.07,1.92,0.02,1.72,0.04,1.13,0.12
8,OWA,feedforward,,,,,,,,,,,,,,,,,,
9,MSIS,feedforward,56066.96,9144.34,10997.88,1060.01,74.85,11.05,84.26,15.2,145603.73,2406.02,757914.67,50695.71,442068.53,58838.72,741085.21,145039.54,6200.76,1928.79
10,QuantileLoss[0.1],feedforward,24991.53,6396.79,29.6,3.27,33.73,3.47,34.42,4.99,42635.77,1092.5,5315.67,1199.51,4140.1,488.12,7923.09,2898.98,8.92,1.26
11,Coverage[0.1],feedforward,0.05,0.04,0,0,0,0,0,0,0.45,0.03,0.39,0.03,0.39,0.04,0.45,0.04,0,0.01
12,QuantileLoss[0.5],feedforward,61194.5,9479.3,45.68,9.05,72.03,4.23,75.94,10.85,27409.07,702.93,17306.34,3889.47,12397.96,782.53,18205.95,3135.17,11.24,3.46
13,Coverage[0.5],feedforward,0.58,0.14,0.53,0.11,0.11,0.02,0.09,0.02,0.87,0.06,0.65,0.07,0.59,0.05,0.7,0.04,0.4,0.13
14,QuantileLoss[0.95],feedforward,22777.06,2614.77,19.03,2.95,15.12,5.93,17.42,6.76,3212.53,123.86,5314.67,662.54,3819,302.69,4922.47,722.72,4.87,0.46
15,Coverage[0.95],feedforward,1,0,1,0,0.82,0.11,0.78,0.09,1,0,0.83,0,0.78,0.04,0.83,0,1,0
16,RMSE,feedforward,703.84,114.99,0.38,0.07,0.67,0.04,0.7,0.1,795.01,7.06,568.95,120.95,427.3,24.4,562.27,99.54,0.3,0.08
17,NRMSE,feedforward,1162.43,189.91,1.6,0.31,1.24,0.07,1.28,0.18,1744.82,15.49,942.5,200.36,928.3,53,781.3,138.32,0.69,0.19
18,ND,feedforward,777.43,120.43,1.28,0.25,1.1,0.06,1.15,0.16,859.36,22.04,477.82,107.39,448.91,28.33,421.63,72.61,0.52,0.16
19,wQuantileLoss[0.1],feedforward,317.5,81.27,0.83,0.09,0.52,0.05,0.52,0.08,1336.77,34.25,146.76,33.12,149.91,17.67,183.49,67.14,0.41,0.06
20,wQuantileLoss[0.5],feedforward,777.43,120.43,1.28,0.25,1.1,0.06,1.15,0.16,859.36,22.04,477.82,107.39,448.91,28.33,421.63,72.61,0.52,0.16
21,wQuantileLoss[0.95],feedforward,289.37,33.22,0.53,0.08,0.23,0.09,0.26,0.1,100.72,3.88,146.73,18.29,138.28,10.96,114,16.74,0.23,0.02
22,mean_wQuantileLoss,feedforward,461.43,29.18,0.88,0.12,0.62,0.04,0.64,0.08,765.62,18.36,257.1,36.97,245.7,10.23,239.71,39.31,0.39,0.07
23,MAE_Coverage,feedforward,0.08,0.02,0.09,0.01,0.21,0.04,0.22,0.03,0.25,0.03,0.19,0.03,0.18,0.03,0.22,0.02,0.09,0.04
24,MSE,deepvar,184495.67,86418.86,0.14,0.01,1.5,0.19,1.43,0.05,595142.28,3915.61,59411.91,21592.94,63738.2,35111.06,75655.7,33423.63,0.25,0.08
25,abs_error,deepvar,40074.81,6344.26,41.21,2.28,132.66,10.25,132.51,3.29,24373.47,303.42,7745.73,1163.09,8127.58,1901.07,9129.81,1748.32,19.82,3.26
26,abs_target_sum,deepvar,78.71,0,35.58,0,65.28,0,66.04,0,31.89,0,36.22,0,27.62,0,43.18,0,21.62,0
27,abs_target_mean,deepvar,0.61,0,0.24,0,0.54,0,0.55,0,0.46,0,0.6,0,0.46,0,0.72,0,0.43,0
28,seasonal_error,deepvar,0.07,0,0,0,0.05,0,0.05,0,0.13,0,0,0,0,0,0,0,0.11,0
29,MASE,deepvar,5292.47,658.03,592.24,66.35,24.69,1.98,25.3,0.6,3856.58,32.4,55231.92,8371.78,43564.8,9649.77,52050.37,8676.61,512.15,53.37
30,MAPE,deepvar,617.2,168.21,12.12,1.59,2.21,0.17,2.4,0.14,413.42,8.51,518.65,85.27,406.68,119.7,251.07,43.37,80.26,76.55
31,sMAPE,deepvar,1.99,0.01,1.6,0.06,1.93,0.06,1.96,0.02,1.82,0.03,1.87,0.03,1.94,0.02,1.86,0.06,1.56,0.18
32,OWA,deepvar,,,,,,,,,,,,,,,,,,
33,MSIS,deepvar,92606.68,2361.23,13833.21,207.74,122.48,3.49,133.16,2.03,137861.69,113.1,915568.12,23443.65,754575.29,34858.13,762591.11,28376.03,13068.15,556.72
34,QuantileLoss[0.1],deepvar,44682.3,4132.53,43.95,0.93,68.41,2.77,69.65,0.84,36335.34,123.69,7470.04,301.13,7028.8,664.15,5989.65,574.5,16.26,0.69
35,Coverage[0.1],deepvar,0,0,0,0,0,0,0,0,0.17,0.02,0.18,0.01,0.25,0.05,0.33,0,0,0
36,QuantileLoss[0.5],deepvar,40074.81,6344.26,41.21,2.28,132.66,10.25,132.51,3.29,24373.47,303.42,7745.73,1163.09,8127.58,1901.07,9129.81,1748.32,19.82,3.26
37,Coverage[0.5],deepvar,0.34,0.12,0.29,0.04,0,0,0,0,0.78,0.08,0.55,0.03,0.63,0.04,0.62,0.06,0.22,0.11
38,QuantileLoss[0.95],deepvar,29055.13,2983.95,20.97,0.35,14.05,0.73,15.93,0.62,3264.24,38.14,5559.54,203.29,5735.13,318.74,5110.38,391.08,6.35,0.57
39,Coverage[0.95],deepvar,1,0,1,0,0.96,0.03,0.93,0.03,1,0,0.83,0,0.83,0,0.83,0,1,0
40,RMSE,deepvar,419.14,93.91,0.37,0.02,1.22,0.08,1.2,0.02,771.45,2.53,239.31,46.28,241.73,72.82,269.09,56.96,0.49,0.08
41,NRMSE,deepvar,692.23,155.1,1.56,0.06,2.24,0.15,2.18,0.04,1693.12,5.56,396.43,76.67,525.17,158.21,373.92,79.15,1.14,0.19
42,ND,deepvar,509.12,80.6,1.16,0.06,2.03,0.16,2.01,0.05,764.19,9.51,213.85,32.11,294.29,68.83,211.44,40.49,0.92,0.15
43,wQuantileLoss[0.1],deepvar,567.66,52.5,1.24,0.03,1.05,0.04,1.05,0.01,1139.23,3.88,206.24,8.31,254.5,24.05,138.72,13.31,0.75,0.03
44,wQuantileLoss[0.5],deepvar,509.12,80.6,1.16,0.06,2.03,0.16,2.01,0.05,764.19,9.51,213.85,32.11,294.29,68.83,211.44,40.49,0.92,0.15
45,wQuantileLoss[0.95],deepvar,369.13,37.91,0.59,0.01,0.22,0.01,0.24,0.01,102.34,1.2,153.49,5.61,207.66,11.54,118.35,9.06,0.29,0.03
46,mean_wQuantileLoss,deepvar,481.97,24.06,0.99,0.03,1.1,0.07,1.1,0.02,668.59,4.69,191.2,9.83,252.15,20.74,156.17,14.63,0.65,0.05
47,MAE_Coverage,deepvar,0.1,0.04,0.12,0.01,0.21,0.01,0.21,0.01,0.14,0.03,0.08,0.01,0.13,0.02,0.16,0.02,0.14,0.04
48,MSE,transformer,2380767.63,110112.78,0.25,0.01,0.33,0.06,0.43,0.05,660551.38,1653.75,1053308.11,83617.92,758320.79,94631.48,732338.14,17588.05,0.26,0.02
49,abs_error,transformer,146883.22,2642.28,74.74,1.4,48.34,3,51.99,1.58,29421.47,89.72,34896.59,1401.12,29813.37,1665.46,30358.26,305.33,24.94,1.29
50,abs_target_sum,transformer,78.71,0,35.58,0,65.28,0,66.04,0,31.89,0,36.22,0,27.62,0,43.18,0,21.62,0
51,abs_target_mean,transformer,0.61,0,0.24,0,0.54,0,0.55,0,0.46,0,0.6,0,0.46,0,0.72,0,0.43,0
52,seasonal_error,transformer,0.07,0,0,0,0.05,0,0.05,0,0.13,0,0,0,0,0,0,0,0.11,0
53,MASE,transformer,16403.27,185.48,1792.61,16.87,9.21,0.54,10.6,0.33,4437.11,10.09,249203.85,9977.52,168109.72,8734.18,187284.8,2327.1,1701.51,40.54
54,MAPE,transformer,2498.15,32.46,46.7,0.31,0.78,0.06,1.01,0.07,529.04,1.97,2339.16,93.62,1593.96,74.34,873.61,9.96,387.65,30.62
55,sMAPE,transformer,1.99,0,1.36,0.01,0.59,0.03,0.59,0,1.92,0,1.7,0.01,1.71,0.01,1.69,0.01,1.13,0.02
56,OWA,transformer,,,,,,,,,,,,,,,,,,
57,MSIS,transformer,183420.13,10899.28,5186.95,170.16,53.08,8.81,64.59,11.47,164278.85,493.16,4511677.58,415899.78,2323734.11,348279.62,3403799.77,117241.29,4952.85,515.17
58,QuantileLoss[0.1],transformer,137932.8,4882.94,37.51,1.43,22.36,5.67,24.78,2.97,49372.85,204.52,39124.68,2680.04,30810.71,3240.9,36037.04,993.05,10.97,1.46
59,Coverage[0.1],transformer,0.93,0.03,0.97,0.03,0.12,0.04,0.11,0.02,0.98,0.01,0.79,0.06,0.71,0.05,0.8,0.05,0.81,0.06
60,QuantileLoss[0.5],transformer,146883.22,2642.28,74.74,1.4,48.34,3,51.99,1.58,29421.47,89.72,34896.59,1401.12,29813.37,1665.46,30358.26,305.33,24.94,1.29
61,Coverage[0.5],transformer,1,0,0.98,0.02,0.45,0.03,0.47,0.04,1,0,0.83,0,0.79,0.04,0.83,0,1,0
62,QuantileLoss[0.95],transformer,23574.42,284.89,14.27,0.18,12.92,0.72,12.84,0.31,3202.43,12.84,5147.97,171.22,4613.34,171.93,4320.45,47.71,5.07,0.14
63,Coverage[0.95],transformer,1,0,1,0,0.9,0.02,0.93,0.01,1,0,0.83,0,0.83,0,0.83,0,1,0
64,RMSE,transformer,1542.56,35.56,0.5,0.01,0.57,0.06,0.65,0.04,812.74,1.02,1025.53,39.92,869.15,53.85,855.71,10.26,0.51,0.02
65,NRMSE,transformer,2547.63,58.73,2.09,0.03,1.06,0.11,1.19,0.07,1783.74,2.23,1698.85,66.13,1888.23,116.99,1189.05,14.26,1.18,0.05
66,ND,transformer,1866.05,33.57,2.1,0.04,0.74,0.05,0.79,0.02,922.46,2.81,963.47,38.68,1079.5,60.3,703.07,7.07,1.15,0.06
67,wQuantileLoss[0.1],transformer,1752.34,62.03,1.05,0.04,0.34,0.09,0.38,0.04,1547.99,6.41,1080.2,73.99,1115.61,117.35,834.59,23,0.51,0.07
68,wQuantileLoss[0.5],transformer,1866.05,33.57,2.1,0.04,0.74,0.05,0.79,0.02,922.46,2.81,963.47,38.68,1079.5,60.3,703.07,7.07,1.15,0.06
69,wQuantileLoss[0.95],transformer,299.5,3.62,0.4,0.01,0.2,0.01,0.19,0,100.41,0.4,142.13,4.73,167.04,6.23,100.06,1.1,0.23,0.01
70,mean_wQuantileLoss,transformer,1305.96,32.7,1.19,0.02,0.43,0.05,0.45,0.02,856.95,2.86,728.6,38.38,787.38,60.11,545.91,10.01,0.63,0.04
71,MAE_Coverage,transformer,0.46,0.01,0.47,0.02,0.05,0.01,0.02,0.01,0.48,0,0.38,0.02,0.34,0.03,0.38,0.02,0.42,0.02
